"","links","urls"
"1",1789-04-30,"http://www.presidency.ucsb.edu/ws/index.php?pid=25800"
"2",1793-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25801"
"3",1797-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25802"
"4",1801-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25803"
"5",1805-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25804"
"6",1809-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25805"
"7",1813-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25806"
"8",1817-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25807"
"9",1821-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25808"
"10",1825-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25809"
"11",1829-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25810"
"12",1833-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25811"
"13",1837-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25812"
"14",1841-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25813"
"15",1845-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25814"
"16",1849-03-05,"http://www.presidency.ucsb.edu/ws/index.php?pid=25815"
"17",1853-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25816"
"18",1857-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25817"
"19",1861-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25818"
"20",1865-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25819"
"21",1869-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25820"
"22",1873-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25821"
"23",1877-03-05,"http://www.presidency.ucsb.edu/ws/index.php?pid=25822"
"24",1881-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25823"
"25",1885-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25824"
"26",1889-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25825"
"27",1893-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25826"
"28",1897-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25827"
"29",1901-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25828"
"30",1905-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25829"
"31",1909-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25830"
"32",1913-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25831"
"33",1917-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25832"
"34",1921-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25833"
"35",1925-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=25834"
"36",1929-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=21804"
"37",1933-03-04,"http://www.presidency.ucsb.edu/ws/index.php?pid=14473"
"38",1937-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=15349"
"39",1941-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=16022"
"40",1945-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=16607"
"41",1949-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=13282"
"42",1953-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=9600"
"43",1957-01-21,"http://www.presidency.ucsb.edu/ws/index.php?pid=10856"
"44",1961-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=8032"
"45",1965-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=26985"
"46",1969-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=1941"
"47",1973-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=4141"
"48",1977-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=6575"
"49",1981-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=43130"
"50",1985-01-21,"http://www.presidency.ucsb.edu/ws/index.php?pid=38688"
"51",1989-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=16610"
"52",1993-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=46366"
"53",1997-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=54183"
"54",2001-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=25853"
"55",2005-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=58745"
"56",2009-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=44"
"57",2013-01-21,"http://www.presidency.ucsb.edu/ws/index.php?pid=102827"
"58",2017-01-20,"http://www.presidency.ucsb.edu/ws/index.php?pid=120000"
